,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,53,ZA,1556912739,59,-34.53,20.04,62.6,6.93
1,Yulara,0,AU,1556910000,57,-25.24,130.99,50.0,8.05
2,Mar del Plata,77,AR,1556912942,44,-46.43,-67.52,45.41,10.2
3,Merrill,1,US,1556912886,25,42.03,-121.6,69.01,5.82
4,Ponta do Sol,100,BR,1556912942,90,-20.63,-46.0,69.17,2.55
5,Melfort,90,CA,1556910000,86,52.87,-104.61,37.4,8.05
6,Nikolskoye,90,RU,1556912838,59,59.7,30.79,37.99,8.95
7,Ushuaia,75,AR,1556910000,56,-54.81,-68.31,41.0,5.82
8,Hermanus,95,ZA,1556912759,76,-34.42,19.24,59.0,1.01
9,Bandarbeyla,0,SO,1556912943,75,9.49,50.81,79.61,6.2
10,Cadiz,90,US,1556912917,64,40.27,-81.0,73.0,3.36
11,Jamestown,7,AU,1556912944,95,-33.21,138.6,49.91,1.05
12,Pevek,0,RU,1556912944,83,69.7,170.27,26.51,0.85
13,Albany,90,US,1556912925,72,42.65,-73.75,66.99,14.99
14,Busselton,11,AU,1556912878,73,-33.64,115.35,64.99,5.01
15,Toamasina,40,MG,1556910000,94,-18.17,49.38,73.4,5.82
16,Ilulissat,75,GL,1556909400,37,69.22,-51.1,51.8,11.41
17,Bambous Virieux,40,MU,1556912940,69,-20.34,57.76,77.0,10.29
18,Hearst,66,CA,1556912946,54,49.69,-83.67,45.59,7.87
19,Bayevo,0,RU,1556912946,43,53.27,80.77,40.55,3.76
20,Port Elizabeth,90,US,1556912913,68,39.31,-74.98,73.99,4.7
21,Viedma,0,AR,1556912947,49,-40.81,-62.99,54.05,4.97
22,Floro,40,NO,1556909400,56,61.6,5.03,41.0,13.87
23,Saint-Philippe,90,CA,1556912909,93,45.36,-73.48,53.01,12.75
24,Marsabit,34,KE,1556912948,52,2.34,37.99,85.91,15.01
25,Komsomolskiy,100,RU,1556912948,91,67.55,63.78,30.11,12.53
26,Cape Town,75,ZA,1556912767,77,-33.93,18.42,61.0,4.7
27,Mayenne,67,FR,1556912596,71,48.3,-0.62,51.8,6.93
28,Hamilton,20,BM,1556911817,64,32.3,-64.78,77.0,9.17
29,Castro,90,CL,1556910000,93,-42.48,-73.76,53.6,4.7
30,Ahipara,0,NZ,1556912718,100,-35.17,173.16,50.0,9.35
31,Wajima,0,JP,1556912949,64,37.4,136.9,57.29,10.42
32,Butaritari,96,KI,1556912950,78,3.07,172.79,83.21,13.82
33,Saskylakh,0,RU,1556912950,91,71.97,114.09,3.11,4.56
34,Tuktoyaktuk,20,CA,1556910000,78,69.44,-133.03,15.8,12.75
35,Mataura,100,NZ,1556911808,77,-46.19,168.86,55.0,3.0
36,Chake Chake,1,TZ,1556912950,76,-5.25,39.77,83.21,13.6
37,Batagay,0,RU,1556912951,64,67.65,134.64,29.75,3.71
38,Cabo San Lucas,40,MX,1556912712,34,22.89,-109.91,88.0,11.41
39,Vaini,100,IN,1556912951,85,15.34,74.49,73.49,2.62
40,Victoria,75,BN,1556910000,88,5.28,115.24,77.0,3.36
41,Pekan,75,MY,1556910000,94,3.49,103.39,78.8,2.24
42,Puerto Ayora,20,EC,1556912836,66,-0.74,-90.35,87.8,13.87
43,Chernyshevskiy,0,RU,1556912952,90,63.01,112.47,23.99,8.34
44,Minuri,27,PH,1556912952,95,16.54,121.86,71.51,1.48
45,Erenhot,30,CN,1556912952,44,43.65,111.97,61.61,17.11
46,Hokitika,50,NZ,1556912953,75,-42.72,170.96,57.29,9.28
47,Nizhniy Kuranakh,96,RU,1556912953,86,58.84,125.49,25.79,7.83
48,Maumere,1,ID,1556912953,79,-8.63,122.22,80.69,4.14
49,Kaitangata,96,NZ,1556912953,67,-46.28,169.85,52.79,5.93
50,Bethel,90,US,1556909760,80,60.79,-161.76,41.0,13.87
51,Half Moon Bay,40,US,1556912910,52,37.46,-122.43,75.99,14.99
52,Port Hedland,0,AU,1556910000,77,-20.31,118.58,68.0,8.05
53,Yellowknife,20,CA,1556912885,42,62.45,-114.38,28.99,11.41
54,Kruisfontein,76,ZA,1556912954,82,-34.0,24.73,54.59,7.63
55,Maryborough,100,AU,1556912955,95,-25.54,152.7,67.73,1.66
56,Roald,20,NO,1556912816,64,62.58,6.12,39.2,12.75
57,Rikitea,100,PF,1556912955,73,-23.12,-134.97,77.27,17.67
58,Saraland,75,US,1556912909,69,30.82,-88.07,87.01,6.93
59,Namatanai,100,PG,1556912956,89,-3.66,152.44,77.63,11.32
60,Sehore,40,IN,1556912956,24,23.2,77.08,90.05,6.91
61,Chuy,48,UY,1556912956,77,-33.69,-53.46,68.09,9.1
62,Shache,84,CN,1556912956,12,38.42,77.24,63.77,8.23
63,Copiapo,90,CL,1556910000,77,-27.37,-70.33,59.0,4.7
64,Hasaki,75,JP,1556912488,100,35.73,140.83,59.0,5.82
65,Avarua,100,CK,1556910000,78,-21.21,-159.78,80.6,18.34
66,Poum,40,MK,1556910000,62,41.28,20.71,53.6,8.05
67,Coihaique,75,CL,1556910000,65,-45.58,-72.07,51.8,9.17
68,Hobart,20,AU,1556912800,71,-42.88,147.33,51.01,4.7
69,Bowen,5,AU,1556912932,93,-20.01,148.25,71.01,3.36
70,Namibe,90,AO,1556912958,79,-15.19,12.15,72.05,5.39
71,Formosa,75,AR,1556910000,62,-26.19,-58.17,89.6,10.29
72,Punta Arenas,0,CL,1556912587,68,-53.16,-70.91,44.6,12.75
73,Miri,89,NG,1556912959,40,10.31,9.75,89.33,2.1
74,Mattru,100,SL,1556912959,89,7.62,-11.83,79.07,4.23
75,Tiznit,28,MA,1556912959,84,29.7,-9.73,63.23,13.31
76,Evensk,90,RU,1556912960,67,61.92,159.24,34.25,7.29
77,Samarai,100,PG,1556912960,97,-10.62,150.67,75.11,3.53
78,Urengoy,100,RU,1556912960,99,65.96,78.37,34.25,3.89
79,Barrow,2,AR,1556912960,53,-38.31,-60.23,58.55,7.25
80,Kapaa,75,US,1556912802,78,22.08,-159.32,78.8,9.17
81,Marck,90,FR,1556912947,87,50.95,1.95,53.01,4.7
82,Haines Junction,39,CA,1556912704,54,60.75,-137.51,43.43,5.46
83,Qaanaaq,100,GL,1556912961,92,77.48,-69.36,25.07,3.6
84,Iskateley,100,RU,1556912961,100,67.68,53.15,36.05,13.67
85,Airai,19,TL,1556912962,78,-8.93,125.41,74.57,4.74
86,Cockburn Town,22,TC,1556912962,81,21.46,-71.14,79.43,19.73
87,Port Alfred,45,ZA,1556912834,88,-33.59,26.89,59.0,3.0
88,Sancti Spiritus,75,CU,1556912963,50,21.93,-79.44,88.61,7.16
89,Atuona,0,PF,1556912963,76,-9.8,-139.03,84.11,15.57
90,Yingcheng,0,CN,1556910000,77,30.93,113.57,66.2,4.47
91,Constitucion,90,MX,1556912417,17,23.99,-104.67,75.2,23.04
92,Zhigansk,13,RU,1556912964,86,66.77,123.37,15.71,7.05
93,Grafton,100,AU,1556912900,100,-29.69,152.93,64.4,2.35
94,Ayr,40,GB,1556912740,61,55.46,-4.63,46.4,11.41
95,La Libertad,0,PE,1556910000,13,-16.38,-71.56,69.8,9.17
96,Oranjemund,2,ZA,1556912965,83,-28.55,16.43,58.91,23.4
97,Guerrero Negro,89,MX,1556912965,83,27.97,-114.04,60.89,12.44
98,Kasempa,19,ZM,1556912965,73,-13.46,25.83,62.87,4.81
99,Kropachevo,90,RU,1556912966,70,55.01,57.99,48.65,6.87
100,Esso,24,RU,1556912966,87,55.93,158.7,22.55,6.2
101,Bluff,92,AU,1556912966,80,-23.58,149.07,68.81,3.24
102,Cartagena,75,ES,1556912726,82,37.63,-1.0,62.6,11.41
103,Birakan,38,RU,1556912966,42,49.02,131.7,44.69,10.16
104,Monrovia,75,LR,1556910000,83,6.33,-10.8,82.4,9.17
105,Tasiilaq,75,GL,1556909400,55,65.61,-37.64,35.6,3.36
106,Kamina,74,CD,1556912967,71,-8.74,25.0,70.61,1.9
107,Thompson,90,CA,1556910900,70,55.74,-97.86,32.0,8.05
108,Te Anau,100,NZ,1556912968,92,-45.41,167.72,50.99,4.92
109,Lorengau,100,PG,1556912672,89,-2.02,147.27,77.81,10.22
110,Nanortalik,100,GL,1556912968,70,60.14,-45.24,39.83,6.29
111,Isangel,20,VU,1556910000,88,-19.55,169.27,69.8,21.25
112,Guaruja,20,BR,1556912704,45,-23.99,-46.26,84.2,6.93
113,Kristinehamn,94,SE,1556912918,74,59.31,14.11,39.2,11.41
114,Saint-Pierre,75,FR,1556912826,87,48.95,4.24,53.6,6.93
115,Maxixe,0,MZ,1556910000,78,-23.86,35.35,73.4,9.17
116,Buin,90,CL,1556910000,33,-33.73,-70.74,73.4,4.7
117,Vallenar,32,CL,1556912971,46,-28.58,-70.76,73.67,6.22
118,East London,90,ZA,1556912971,75,-33.02,27.91,59.63,8.39
119,Taoudenni,46,ML,1556912971,10,22.68,-3.98,89.51,11.07
120,Lata,28,IN,1556912971,56,30.78,78.62,21.47,12.01
121,Soma,0,JP,1556912861,75,37.8,140.92,45.0,4.18
122,Pirai do Sul,100,BR,1556912972,97,-24.53,-49.95,65.21,2.08
123,Chokurdakh,100,RU,1556912972,90,70.62,147.9,25.61,9.19
124,Lakes Entrance,1,AU,1556912461,90,-37.88,147.99,51.01,1.01
125,Longyearbyen,20,NO,1556909400,62,78.22,15.63,19.4,16.11
126,Khatanga,0,RU,1556912682,89,71.98,102.47,10.31,7.31
127,Novorudnyy,0,RU,1556910000,39,51.5,58.19,50.0,17.9
128,Portales,1,US,1556912972,43,34.19,-103.33,73.4,6.93
129,Vila Velha,20,BR,1556912897,62,-3.71,-38.6,86.0,17.22
130,Nogliki,90,RU,1556912974,88,51.8,143.14,36.41,2.73
131,Ancud,90,CL,1556910000,93,-41.87,-73.83,53.6,4.7
132,Saravan,75,AM,1556910000,37,39.72,45.65,69.8,11.41
133,Khorixas,0,NA,1556912975,31,-20.37,14.96,79.25,1.52
134,Ternate,40,PH,1556912887,74,14.29,120.72,84.99,4.7
135,Boa Vista,75,BR,1556910000,55,2.82,-60.67,87.8,4.7
136,Lundazi,11,ZM,1556912976,87,-12.29,33.17,63.77,6.71
137,Manavgat,0,TR,1556911200,72,36.79,31.44,64.4,8.05
138,Atambua,3,ID,1556912977,73,-9.11,124.89,82.13,8.19
139,Kavaratti,57,IN,1556912977,66,10.57,72.64,84.47,8.97
140,Srednekolymsk,43,RU,1556912977,89,67.46,153.71,27.95,4.54
141,Aswan,0,EG,1556910000,15,24.09,32.9,91.4,11.41
142,Upernavik,0,GL,1556912978,87,72.79,-56.15,31.37,14.32
143,Manicore,40,BR,1556910000,66,-5.81,-61.3,89.6,5.82
144,Tiksi,47,RU,1556912978,84,71.64,128.87,9.41,19.22
145,San Patricio,29,PY,1556912978,89,-26.98,-56.83,78.17,2.51
146,Carnarvon,0,ZA,1556912978,42,-30.97,22.13,59.27,9.48
147,Lavrentiya,100,RU,1556912979,96,65.58,-170.99,27.05,7.76
148,Sorong,99,ID,1556912979,95,-0.86,131.25,76.19,0.94
149,Shakawe,0,BW,1556912979,29,-18.36,21.84,67.19,3.58
150,Sao Filipe,19,CV,1556912979,78,14.9,-24.5,72.23,15.97
151,Deputatskiy,25,RU,1556912980,88,69.3,139.9,20.39,3.56
152,Dali,6,CN,1556912980,93,25.6,100.24,55.49,3.0
153,Auras,40,IN,1556910000,48,26.91,80.51,84.2,2.24
154,Aykhal,0,RU,1556910000,79,65.95,111.51,21.2,6.71
155,Maldonado,40,UY,1556910000,56,-34.91,-54.96,69.8,3.36
156,Margate,20,AU,1556912955,71,-43.03,147.26,51.01,4.7
157,Dikson,47,RU,1556912981,95,73.51,80.55,6.53,3.38
158,Lagoa,20,PT,1556912727,88,37.14,-8.45,66.0,12.75
159,Damavand,20,IR,1556912583,26,35.72,52.07,71.6,11.41
160,Muzhi,99,RU,1556912982,95,65.4,64.7,32.45,5.03
161,Hilo,40,US,1556912916,78,19.71,-155.08,78.01,4.68
162,Saint-Michel-des-Saints,100,CA,1556912095,9,46.68,-73.92,46.99,1.99
163,Gravdal,20,NO,1556912822,51,59.79,5.78,43.0,28.86
164,Severo-Kurilsk,99,RU,1556912983,78,50.68,156.12,37.13,17.18
165,Souillac,0,FR,1556912888,71,45.6,-0.6,55.99,6.93
166,Aripuana,47,BR,1556912983,94,-9.17,-60.63,79.97,1.99
167,Davidson,40,US,1556913600,54,35.5,-80.85,84.99,3.36
168,Alofi,90,NU,1556910000,88,-19.06,-169.92,77.0,11.41
169,Kankakee,90,US,1556912900,58,41.12,-87.86,61.0,11.41
170,Lompoc,1,US,1556912784,46,34.64,-120.46,73.4,8.05
171,San Cristobal,75,EC,1556912774,35,-0.39,-78.55,69.8,6.93
172,Necochea,27,AR,1556912491,63,-38.55,-58.74,63.0,4.0
173,Burriana,70,ES,1556912953,87,39.89,-0.08,57.2,2.24
174,Huarmey,49,PE,1556912985,91,-10.07,-78.15,66.29,14.63
175,Marsa Matruh,40,EG,1556910000,68,31.35,27.25,64.4,5.82
176,Salalah,20,OM,1556909400,79,17.01,54.1,86.0,3.36
177,Two Hills,100,CA,1556912986,36,53.71,-111.75,41.27,18.81
178,Vaitape,90,PF,1556912986,73,-16.52,-151.75,81.59,17.38
179,Grindavik,75,IS,1556911800,81,63.84,-22.43,44.6,13.87
180,Vredendal,0,ZA,1556912987,80,-31.68,18.49,60.89,20.4
181,Ribeira Grande,75,PT,1556910000,93,38.52,-28.7,60.8,6.93
182,Boguchany,46,RU,1556912987,91,58.38,97.46,31.19,3.94
183,Tadine,5,NC,1556912987,68,-21.55,167.88,75.47,20.47
184,Bermejo,7,AR,1556912988,68,-22.73,-64.34,78.53,2.35
185,Praia,75,BR,1556910000,61,-20.25,-43.81,80.6,4.7
186,Thoen,24,TH,1556912988,78,17.61,99.22,77.27,2.84
187,Fortuna,75,ES,1556912988,67,38.18,-1.13,62.6,18.34
188,Mehran,40,IR,1556910000,48,33.12,46.17,66.2,6.93
189,Bouza,78,NE,1556912989,24,14.42,6.04,90.23,3.38
190,New Norfolk,20,AU,1556912955,71,-42.78,147.06,51.01,4.7
191,Clyde River,90,CA,1556911560,100,70.47,-68.59,24.8,5.82
192,Provideniya,100,RU,1556912990,94,64.42,-173.23,31.73,3.67
193,Guanajuato,16,MX,1556912818,15,21.02,-101.25,87.01,11.41
194,Phan Thiet,95,VN,1556912990,90,10.93,108.1,78.17,0.4
195,Port Blair,100,IN,1556912990,78,11.67,92.75,85.19,14.45
196,Olinda,75,EC,1556912921,74,-2.03,-79.75,87.01,6.93
197,Ratnapura,100,IN,1556912991,21,17.9,77.63,89.33,13.76
198,Wageningen,75,NL,1556912986,81,51.98,5.66,48.2,5.82
199,Ixtapa,20,MX,1556912713,51,20.71,-105.21,84.2,9.17
200,Lafia,95,NG,1556912991,51,8.5,8.51,88.79,4.88
201,Iquique,90,CL,1556910000,64,-20.22,-70.14,68.0,8.05
202,Celestun,1,MX,1556912992,81,20.87,-90.4,82.13,18.75
203,Zlobin,75,HR,1556912958,82,45.29,14.65,57.99,6.29
204,Port Lincoln,58,AU,1556912992,66,-34.72,135.86,59.63,10.09
205,Kutum,26,SD,1556912992,8,14.2,24.66,83.57,4.54
206,San Policarpo,23,PH,1556912992,79,12.18,125.51,79.79,5.14
207,Coquimbo,75,CL,1556912817,82,-29.95,-71.34,75.0,12.75
208,Iqaluit,40,CA,1556912562,73,63.75,-68.52,26.6,14.99
209,Codrington,100,AU,1556912934,93,-28.95,153.24,68.0,4.32
210,Pombas,93,BR,1556912993,66,-15.9,-54.74,83.93,2.3
211,Mount Gambier,75,AU,1556910000,87,-37.83,140.78,53.6,8.05
212,Ulladulla,0,AU,1556912661,87,-35.36,150.48,55.0,11.41
213,Almaznyy,0,RU,1556910000,76,48.03,40.04,57.2,11.18
214,Linhares,100,BR,1556912994,90,-19.38,-40.06,75.47,3.44
215,Eureka,20,US,1556912776,72,40.8,-124.16,64.0,9.17
216,Correntina,55,BR,1556912995,64,-13.34,-44.63,79.97,3.96
217,Singaparna,78,ID,1556912995,98,-7.35,108.11,69.89,2.48
218,Ginda,2,IN,1556912995,28,30.69,78.49,50.45,7.36
219,Georgetown,73,GY,1556910000,83,6.8,-58.16,82.4,11.41
220,Narsaq,75,GL,1556909400,27,60.91,-46.05,50.0,48.32
221,Los Llanos de Aridane,75,ES,1556912832,68,28.66,-17.92,66.2,13.87
222,Mount Isa,75,AU,1556910000,77,-20.73,139.49,68.0,17.22
223,Dunedin,60,NZ,1556912494,91,-45.87,170.5,48.99,7.58
224,Wairoa,38,NZ,1556912403,99,-39.04,177.43,48.99,3.0
225,Turukhansk,100,RU,1556912997,99,65.8,87.96,35.15,10.87
226,Barcelos,0,PT,1556912737,68,41.53,-8.62,73.99,9.17
227,Montepuez,27,MZ,1556912997,97,-13.13,39.0,68.09,4.61
228,Quatre Cocos,40,MU,1556912940,69,-20.21,57.76,77.0,10.29
229,Mahebourg,40,MU,1556912940,69,-20.41,57.7,77.0,10.29
230,Emba,40,CY,1556912831,87,34.81,32.42,64.4,6.93
231,Cidreira,17,BR,1556912998,83,-30.17,-50.22,75.11,5.12
232,Ust-Maya,100,RU,1556912999,92,60.42,134.54,31.19,9.73
233,Kodiak,90,US,1556912911,82,39.95,-94.76,59.0,5.82
234,Saint George,75,GR,1556909400,51,39.45,22.34,59.0,3.36
235,Lebu,20,ET,1556910000,26,8.96,38.73,69.8,16.11
236,Baiyin,0,CN,1556910000,93,36.55,104.13,44.6,6.71
237,Lumphat,35,KH,1556913000,93,13.5,106.97,77.63,2.8
238,Carutapera,30,BR,1556913000,86,-1.2,-46.02,80.33,6.53
239,Arraial do Cabo,40,BR,1556910000,83,-22.97,-42.02,84.2,18.34
240,Pringsewu,12,ID,1556913000,98,-5.36,104.98,72.95,2.28
241,Vardo,75,US,1556912951,69,39.62,-77.74,81.0,5.82
242,Oktyabrskoye,0,RU,1556912771,55,56.73,85.44,41.0,6.71
243,Bondoukou,69,CI,1556913001,82,8.04,-2.8,79.25,8.84
244,Tema,20,GH,1556910000,79,5.66,-0.01,84.2,12.75
245,Nemuro,0,JP,1556913001,83,43.32,145.57,41.09,4.43
246,Progreso,0,UY,1556912904,52,-34.68,-56.22,73.0,8.05
247,Kahului,75,US,1556912829,74,20.89,-156.47,81.0,3.36
248,Ratangarh,2,IN,1556913002,16,28.07,74.62,85.37,2.13
249,Rapid Valley,90,US,1556912803,37,44.06,-103.15,55.99,9.17
250,Inuvik,20,CA,1556910000,53,68.36,-133.71,26.6,12.75
251,Pangoa,32,PE,1556913003,40,-12.12,-73.0,90.59,5.88
252,Touros,20,BR,1556910000,62,-5.2,-35.46,86.0,10.29
253,Manokwari,100,ID,1556913004,80,-0.87,134.08,74.57,3.18
254,Inhambane,0,MZ,1556910000,78,-23.87,35.38,73.4,9.17
255,Yate,90,GB,1556913004,87,51.54,-2.41,53.01,10.29
256,Nangong,100,CN,1556913004,28,37.36,115.37,68.09,12.68
257,Paamiut,100,GL,1556913004,50,61.99,-49.67,43.97,6.49
258,Bunia,68,CD,1556913005,71,1.56,30.25,70.25,4.81
259,Saldanha,36,PT,1556913005,55,41.42,-6.55,58.55,2.39
260,Ust-Kut,1,RU,1556913005,60,56.78,105.75,25.79,5.23
261,Billings,20,US,1556912830,23,45.79,-108.5,63.0,20.8
262,Popondetta,99,PG,1556913006,80,-8.77,148.24,70.43,1.45
263,Axim,100,GH,1556913006,83,4.87,-2.24,81.23,6.69
264,Anton Lizardo,5,MX,1556911914,63,19.05,-95.98,91.4,5.82
265,Oksfjord,75,NO,1556910240,68,70.24,22.35,30.2,9.17
266,Kaeo,0,NZ,1556912718,100,-35.1,173.78,51.01,4.92
267,Ilorin,95,NG,1556913010,58,8.5,4.55,86.99,11.3
268,Faanui,90,PF,1556913010,73,-16.48,-151.75,81.59,17.38
269,Mpongwe,62,ZM,1556913010,85,-13.51,28.16,61.97,4.45
270,La Ronge,75,CA,1556910000,44,55.1,-105.3,41.0,6.93
271,Rabo de Peixe,20,PT,1556910000,82,37.8,-25.58,62.6,12.75
272,Lasa,40,CY,1556912831,87,34.92,32.53,64.4,6.93
273,Duluth,1,US,1556912685,75,46.77,-92.13,62.01,9.17
274,Cheremkhovo,0,RU,1556913011,36,53.15,103.07,30.65,2.95
275,Broome,75,GB,1556913004,87,52.47,1.45,44.6,6.93
276,Ketchikan,90,US,1556909760,93,55.34,-131.65,51.8,8.05
